day,daily_grid_import_kwh,daily_grid_export_kwh,daily_energy_cost_rs,daily_degradation_cost_rs,daily_net_cost_rs,daily_battery_throughput_kwh,final_daily_soc_percent,final_daily_soh_percent,capacity_loss_percent
71,30.60249670219259,11.888666200066835,209.15397501734017,21.027631764739084,230.18160678207926,14.018421176492724,19.99999945493186,98.85984210084862,1.1401578991513746
72,30.81201335900716,7.353684773559669,224.43505255137828,21.027631675429724,245.462684226808,14.018421116953146,19.999999467859844,98.84382367973167,1.1561763202683273
73,30.359019089234327,13.312368643648828,202.9350467829281,21.027631621348227,223.96267840427635,14.018421080898817,19.999999868450022,98.82780525865077,1.1721947413492257
74,30.377633287632424,13.158586838664387,203.5453057850662,21.027631707883174,224.5729374929494,14.018421138588781,19.99999955037191,98.81178683751219,1.1882131624878147
75,30.369012579286718,13.202759256968456,203.34382286338837,21.027631739703317,224.37145460309168,14.018421159802214,19.999999388345707,98.79576841635239,1.2042315836476165
76,30.377955751675234,12.938183174635002,204.20909648949691,21.027631624682947,225.23672811417984,14.018421083121961,19.99999986108411,98.77974999526926,1.220250004730738
77,30.379737884927394,12.801638326009252,204.63298810139148,21.027631705286076,225.6606198066775,14.018421136857386,19.99999954274173,98.76373157413241,1.2362684258675953
78,30.52335459003933,12.10806658511485,207.86263696497008,21.027631628232584,228.89026859320262,14.018421085488388,19.999999858728263,98.74771315304692,1.2522868469530843
79,30.51273247563789,12.022801674598762,208.03345478130683,21.02763178040488,229.06108656171168,14.018421186936585,19.999999427266236,98.73169473185997,1.2683052681400206
80,30.374668030244713,12.787584637108582,204.63459033063194,21.02763162103202,225.66222195166398,14.018421080688011,19.99999986548381,98.71567631077929,1.2843236892207086
81,30.34364137989121,13.007437809771673,203.72681760981467,21.027631712838755,224.75444932265344,14.018421141892503,19.999999542139378,98.6996578896374,1.3003421103626014
82,30.307052055776662,13.350408053056416,202.40519228704406,21.027631754161654,223.43282404120572,14.018421169441105,19.999999376411903,98.68363946846796,1.3163605315320424
83,30.32589899529004,13.05244808893315,203.44984769552082,21.02763162807419,224.477479323595,14.018421085382798,19.999999859385706,98.66762104738257,1.332378952617425
84,30.31160822573063,13.114889552321051,203.14819714888188,21.02763171678154,224.17582886566345,14.018421144521028,19.999999537719678,98.65160262623806,1.3483973737619463
85,30.284423145972937,13.3519030770395,202.21967593666497,21.0276317597468,223.24730769641178,14.018421173164533,19.99999936931044,98.63558420506489,1.3644157949351108
86,30.2691452872256,13.485506520356996,201.69664273673382,21.027631632787383,222.72427436952123,14.01842108852492,19.999999857963598,98.61956578397636,1.380434216023636
87,30.259011685865257,13.488351594204513,201.60703870430854,21.0276317256004,222.63467042990897,14.018421150400268,19.99999953668189,98.60354736282596,1.3964526371740362
88,30.258936784681786,13.383832658059521,201.91999630327572,21.0276317633972,222.94762806667296,14.01842117559813,19.99999936692895,98.58752894165038,1.4124710583496345
89,30.27482384689832,13.04172922188744,203.0734031095243,21.02763162940188,224.10103473892616,14.01842108626792,19.999999859462118,98.5715105205641,1.4284894794359027
90,30.300419552291295,11.931921278108653,206.60759258400444,21.027631705895203,227.6352242898996,14.01842113726347,19.999999521905316,98.55549209942683,1.4445079005731662
91,30.318390198358365,12.223297319048847,205.87722962972038,21.027631737149967,226.90486136687034,14.01842115809998,19.99999935468202,98.53947367826873,1.4605263217312665
92,30.562586513272457,9.260853735879099,216.71813089854234,21.027631623262327,237.74576252180464,14.018421082174887,19.999999833985736,98.52345525718655,1.4765447428134415
93,30.616712566631715,10.183068500041843,214.38449503292819,21.027631776597406,235.4121268095256,14.018421184398271,19.999999426635213,98.50743683600216,1.4925631639978398
94,30.416253245355023,9.219063472402894,215.67283554563147,21.027631720730938,236.70046726636247,14.018421147153962,19.999999295909202,98.491418414855,1.5085815851449935
95,30.28309917390271,12.381130896558329,205.12140070154666,21.027631633425656,226.14903233497233,14.018421088950436,19.999999849350367,98.47539999376606,1.524600006233944
96,30.36215625098898,10.82621435014355,210.41860695748113,21.02763160309964,231.4462385605808,14.018421068733092,19.999999935046127,98.45938157269732,1.5406184273026768
97,30.569055671397145,12.052272239444491,208.3956286528437,21.02763173335925,229.42326038620294,14.018421155572835,19.999999547097396,98.44336315154175,1.5566368484582496
98,30.084965367467678,12.653800841844403,202.71832041420816,21.027631762300363,223.74595217650852,14.018421174866912,19.99999935035785,98.42734473036688,1.572655269633117
99,30.08147313277951,12.196151277822446,204.06333122876876,21.027631628658966,225.09096285742774,14.018421085772644,19.99999985470487,98.41132630928111,1.5886736907188892
100,30.152214457820783,10.695164265010394,209.13222286753506,21.027631700539107,230.1598545680742,14.01842113369274,19.99999950996085,98.39530788814741,1.6046921118525819
101,30.167988952389514,11.999815293718111,205.34446573796177,21.02763162377198,226.37209736173372,14.018421082514653,19.999999863170636,98.37928946706491,1.6207105329350966
102,30.06635050163012,12.386119254483134,203.37244624959155,21.027631715806418,224.40007796539797,14.018421143870945,19.999999525885944,98.36327104592102,1.6367289540789671
103,30.02210133144593,12.833607364656864,201.67598855759684,21.027631760478258,222.7036203180751,14.018421173652172,19.99999935284409,98.34725262474738,1.6527473752526192
104,30.0050560027928,12.70833604732496,201.9154398803675,21.02763163148133,222.9430715118488,14.018421087654222,19.999999856632574,98.33123420365972,1.6687657963402727
105,30.01319932158817,12.5692929864765,202.39771561327586,21.027631723271696,223.42534733654756,14.018421148847796,19.999999518106172,98.31521578251088,1.6847842174891194
106,30.020643737101295,12.56168193711055,202.48010408547873,21.02763172723173,223.50773581271045,14.01842115148782,19.999999380432012,98.29919736135939,1.7008026386406077
107,30.061932778701443,11.00890112400825,207.4687588575868,21.02763162958496,228.49639048717174,14.018421086389974,19.99999984877219,98.283178940273,1.7168210597269977
108,29.97252080890566,11.010837762730798,206.74765318305288,21.027631715160965,227.77528489821387,14.018421143440644,19.999999490671613,98.26716051912956,1.7328394808704386
109,30.018762314699117,11.724187631637719,204.9775356226798,21.02763162316271,226.0051672458425,14.018421082108473,19.999999864836145,98.25114209804745,1.748857901952546
110,29.987043034757505,11.991826581838826,203.9208645325436,21.02763171245754,224.9484962450011,14.018421141638362,19.999999522633953,98.23512367690581,1.7648763230941846
111,29.968802116922536,12.194395801285241,203.16722953152455,21.027631618254603,224.19486114977917,14.0184210788364,19.999999870772,98.21910525582697,1.780894744173021
112,29.957434530353442,12.202270629628526,203.05266435394196,21.02763170713383,224.08029606107579,14.018421138089224,19.999999539455455,98.20308683468889,1.79691316531111
113,29.99731472442872,11.60790143109053,205.15481350215822,21.027631740130104,226.1824452422883,14.018421160086735,19.999999350071587,98.1870684135288,1.8129315864711968
114,29.969540985744473,11.877962248242499,204.1224411412283,21.027631629699293,225.15007277092758,14.0184210864662,19.99999985292755,98.17104999244233,1.8289500075576632
115,30.142660571094446,9.511307207507386,212.60736294623342,21.02763173536203,233.63499468159546,14.018421156908023,19.999999653593868,98.15503157128542,1.8449684287145722
116,30.18644927890939,0.4288317039321513,240.20509911947866,21.027631653218442,261.2327307726971,14.018421102145627,19.99999987314464,98.13901315018329,1.860986849816718
117,29.893312702400515,12.261078014680002,202.3632675751641,21.02763172867576,223.39089930383986,14.018421152450507,19.99999951322491,98.12299472903084,1.877005270969169
118,29.894154288072993,12.047447021017517,203.0108932415314,21.027631748836505,224.03852499036793,14.018421165891002,19.999999346023387,98.10697630786494,1.8930236921350603
119,29.98901938947615,11.3170304749641,205.96106369091692,21.027631618454972,226.9886953093719,14.01842107896998,19.9999998732772,98.09095788678597,1.9090421132140303
120,29.895116771777722,11.936168128933243,203.35242978742207,21.027631724010945,224.380061511433,14.018421149340634,19.999999519932825,98.07493946563662,1.9250605343633713
121,29.983232246289152,10.26537794068625,209.06972414825447,21.02763161429756,230.097355762552,14.018421076198383,19.99999986441135,98.05892104456044,1.9410789554395693
122,29.886529526437585,11.815354792730774,203.64617183330833,21.027631721871302,224.67380355517966,14.0184211479142,19.99999951087389,98.04290262341252,1.9570973765874842
123,29.905480665020974,11.846813422226314,203.7034050534889,21.02763161798892,224.73103667147777,14.01842107865928,19.999999869936637,98.02688420233385,1.9731157976661424
124,30.04766669474702,9.546750763171756,211.74108126846085,21.02763173020261,232.7687129986635,14.018421153468406,19.999999498471656,98.01086578118039,1.9891342188196104
125,30.167637189703623,10.116125144924752,210.99272208285475,21.02763166073786,232.0203537435926,14.018421107158574,19.999999826624137,97.99484736007324,2.005152639926769
126,29.8478814975933,12.021262653111046,202.71926402141324,21.027631734465626,223.74689575587888,14.018421156310417,19.999999485252083,97.97882893891692,2.02117106108308
127,29.953057715484952,10.445745535813492,208.28722511643912,21.02763161911212,229.31485673555127,14.018421079408078,19.999999862350126,97.96281051783751,2.0371894821624874
128,29.912966168273314,10.781228169801954,206.96004483678067,21.027631726020793,227.98767656280143,14.018421150680528,19.999999504435014,97.94679209668683,2.0532079033131683
129,29.842236251684316,11.69002304233765,203.66782088646158,21.02763162278935,224.69545250925094,14.018421081859566,19.999999863059287,97.93077367560498,2.0692263243950273
130,29.956891062615124,11.344243755530442,205.6223972343297,21.027631733360806,226.6500289676905,14.01842115557387,19.999999489512717,97.9147552544494,2.085244745550601
131,29.88437321360826,11.157762290292204,205.60169883798946,21.02763162353488,226.62933046152438,14.018421082356587,19.999999858817134,97.89873683336704,2.1012631666329575
132,29.942897647181685,11.085247039957661,206.2874400575805,21.0276317348834,227.3150717924639,14.018421156588932,19.999999481519197,97.88271841221045,2.117281587789546
133,29.893966983662196,11.101897229549309,205.84604418064964,21.027631624496053,226.8736758051457,14.018421082997367,19.99999985687983,97.86669999112746,2.133300008872544
134,29.84385445376337,11.025859539349332,205.67325701205897,21.027631736412424,226.7008887484714,14.018421157608284,19.999999476937976,97.85068156996985,2.149318430030152
135,29.83605795564063,11.216996854073525,205.03747308290446,21.027631624821606,226.06510470772605,14.018421083214404,19.999999857574203,97.83466314888663,2.1653368511133664
136,29.870257953308577,10.406222221567917,207.7433969617649,21.02763171066871,228.7710286724336,14.01842114044581,19.99999950431943,97.81864472774619,2.1813552722538114
137,30.12633572318981,9.57779842948644,212.27729049705914,21.02763161935058,233.30492211640973,14.018421079567052,19.999999856524845,97.80262630666662,2.197373693333379
138,29.888393289694616,9.623786224840842,210.23578764303437,21.027631734422243,231.26341937745667,14.018421156281496,19.999999436721584,97.78660788551034,2.2133921144896602
139,29.869770950141284,10.71660490824647,206.80835287639087,21.027631625535488,227.83598450192636,14.018421083690324,19.999999853803065,97.77058946442665,2.2294105355733502
140,29.881186158411786,10.365781029072537,207.95214618007662,21.027631719231373,228.979777899308,14.018421146154246,19.999999488517027,97.75457104328049,2.2454289567195045
141,30.14934816112292,4.575684990837535,227.46773031647075,21.027631670610432,248.4953619870812,14.018421113740292,19.999999742137415,97.73855262216675,2.2614473778332442
142,30.131212058669043,7.246954131516901,219.3088340748016,21.02763179223641,240.33646586703802,14.018421194824272,19.999999418651075,97.72253420097194,2.2774657990280693
143,29.93385876544177,8.826353255996748,212.99181035554392,21.027631574938496,234.01944193048246,14.018421049958999,19.99999947043713,97.70651577992197,2.2934842200780277
144,29.925235289656964,8.939579843164482,212.58314278776228,21.02763163685622,233.6107744246185,14.018421091237478,19.999999430325254,97.69049735883073,2.3095026411692654
145,29.87472581559438,9.941434153007727,209.1735040657319,21.02763162573276,230.20113569146463,14.018421083821838,19.999999849261933,97.67447893774691,2.3255210622530877
146,29.87957867668074,9.936777506125607,209.2262968950691,21.027631733324235,230.25392862839334,14.018421155549488,19.99999945977838,97.65846051659136,2.3415394834086376
147,29.873977362699755,9.822436256659238,209.52451013162033,21.0276316227599,230.55214175438022,14.018421081839934,19.999999854173485,97.64244209550952,2.3575579044904775
148,29.89946938990238,9.861079882362297,209.61251547213217,21.02763173735788,230.64014720949004,14.018421158238585,19.99999945937522,97.62642367435129,2.3735763256487163
149,29.8596887877251,9.901039595504395,209.17439151528762,21.027631624147013,230.20202313943463,14.018421082764675,19.999999852634783,97.61040525326851,2.3895947467314813
150,29.923772816768846,9.558041748346238,210.7160572891121,21.02763173522227,231.74368902433432,14.018421156814846,19.999999469138825,97.5943868321117,2.4056131678882964
151,30.007370039160488,8.778687457049639,213.72289794213498,21.02763154360825,234.75052948574327,14.018421029072167,19.999999544620444,97.57836841108262,2.4216315889173687
152,29.938720632997985,9.856756763597515,209.93949477319134,21.02763161688548,230.9671263900768,14.018421077923653,19.99999986518757,97.5623499900047,2.437650009995292
153,30.203742199514366,7.323342214677357,219.65991095208287,21.02763160191658,240.68754255399944,14.018421067944384,19.999999920908433,97.54633156893676,2.453668431063236
