day,hour_of_day,local_hour,timestamp_utc,timestamp,ghi_wm2,dni_wm2,dhi_wm2,temp_air_c,pv_power_kw,home_load_kw,ev_charge_kw,total_load_kw,battery_charge_kw,battery_discharge_kw,battery_soc,battery_soh,battery_capacity_loss_percent,battery_throughput_kwh,grid_import_kw,grid_export_kw,import_cost_rs,export_revenue_rs,energy_net_cost_rs,degradation_cost_rs,net_cost_rs
277,23,4,1990-10-04 23:00:00+00:00,1990-10-05 04:30:00+05:30,0.0,0.0,0.0,23.88,0.0,0.9,0.0,0.9,0.0,0.5745162421937092,0.1999999984882795,0.9600382567886361,3.9961743211363907,3442.174321136392,0.3254837570629756,0.0,2.603870056503805,0.0,2.603870056503805,0.8617743632905641,3.465644419794369
278,0,5,1990-10-05 00:00:00+00:00,1990-10-05 05:30:00+05:30,0.0,0.0,0.0,23.83,0.0,0.6,7.2,7.8,1.3281052290952161e-09,1.4691992392396928e-09,0.19999999887618508,0.9600374234552748,3.9962576544725215,3442.174321139189,7.799999998899421,0.0,62.399999991195365,0.0,62.399999991195365,4.195956702502363e-09,62.39999999539132
278,1,6,1990-10-05 01:00:00+00:00,1990-10-05 06:30:00+05:30,0.0,0.0,0.0,23.72,0.0,0.6,7.2,7.8,7.221955195638488e-10,3.3695479801305253e-09,0.1999999987244423,0.9600365901219006,3.9963409878099467,3442.174321143281,7.799999996396992,0.0,62.39999997117594,0.0,62.39999997117594,6.137615249541561e-09,62.399999977313556
278,2,7,1990-10-05 02:00:00+00:00,1990-10-05 07:30:00+05:30,239.7,719.63,84.4,24.37,1.168938073655516,0.6,3.6000000000000005,4.2,2.4696810457728796e-11,7.233329643157526e-09,0.19999999799764084,0.9600357567884946,3.996424321150538,3442.174321150539,3.031061918230508,0.0,24.248495345844063,0.0,24.248495345844063,1.0887039680422881e-08,24.2484953567311
278,3,8,1990-10-05 03:00:00+00:00,1990-10-05 08:30:00+05:30,455.1,777.47,116.15,27.19,2.16288243260145,0.6,0.0,0.6,1.0132129703938975,0.0,0.29625523021127176,0.9600247913254574,3.997520867454265,3443.187534120933,0.0,0.5496694609858097,0.0,1.6490083829574291,-1.6490083829574291,1.5198194555908462,-0.12918892736658294
278,4,9,1990-10-05 04:00:00+00:00,1990-10-05 09:30:00+05:30,644.8,814.01,136.65,28.94,3.0423132285183625,0.6,0.0,0.6,1.1445919924033574,0.0,0.40499146951754017,0.9600125120722,3.998748792780001,3444.3321261133365,0.0,1.2977212348794718,0.0,3.8931637046384155,-3.8931637046384155,1.716887988605036,-2.1762757160333797
278,5,10,1990-10-05 05:00:00+00:00,1990-10-05 10:30:00+05:30,763.45,795.22,152.85,30.52,3.586361724056108,0.6,0.0,0.6,1.0363421502628023,0.0,0.5034439738205171,0.960001315317364,3.9998684682635974,3445.3684682635994,0.0,1.9500195725804144,0.0,5.850058717741243,-5.850058717741243,1.5545132253942036,-4.295545492347039
278,6,11,1990-10-05 06:00:00+00:00,1990-10-05 11:30:00+05:30,851.1,811.96,155.3,31.87,3.998751492067873,1.5,0.0,1.5,0.888363223304383,0.0,0.5878384800664944,0.9599915983517977,4.000840164820235,3446.2568314869036,0.0,1.6103882675079757,0.0,4.8311648025239275,-4.8311648025239275,1.3325448349565745,-3.498619967567353
278,7,12,1990-10-05 07:00:00+00:00,1990-10-05 12:30:00+05:30,846.2,780.66,154.95,32.77,3.9747083343339717,1.5,0.0,1.5,0.8940926095824299,0.0,0.6727772780096428,0.9599818240923685,4.00181759076315,3447.150924096486,0.0,1.5806157235003293,0.0,4.7418471705009875,-4.7418471705009875,1.3411389143736447,-3.4007082561273427
278,8,13,1990-10-05 08:00:00+00:00,1990-10-05 13:30:00+05:30,768.1,723.9,151.7,33.47,3.607012858556537,1.5,0.0,1.5,0.8730002016792598,0.0,0.7557122972040707,0.9599722607570184,4.002773924298164,3448.023924298165,0.0,1.2340126556147748,0.0,3.7020379668443244,-3.7020379668443244,1.30950030251889,-2.3925376643254346
278,9,14,1990-10-05 09:00:00+00:00,1990-10-05 14:30:00+05:30,623.3,648.38,132.25,33.88,2.933672821579591,1.0,0.0,1.0,0.9277860380115275,0.0,0.8438519708513226,0.959962149563305,4.003785043669509,3448.951710336177,0.0,1.005886782314168,0.0,3.017660346942504,-3.017660346942504,1.3916790570172912,-1.6259812899252126
278,10,15,1990-10-05 10:00:00+00:00,1990-10-05 15:30:00+05:30,429.25,515.41,115.15,34.02,2.0197788738656794,1.0,0.0,1.0,0.5664547581533677,0.0,0.8976651729055392,0.95995565168239,4.004434831760995,3449.51816509433,0.0,0.4533241146409046,0.0,1.3599723439227138,-1.3599723439227138,0.8496821372300516,-0.5102902066926622
278,11,16,1990-10-05 11:00:00+00:00,1990-10-05 16:30:00+05:30,220.3,334.97,80.35,33.75,1.037331141762025,1.0,0.0,1.0,0.024577139547863194,0.0,0.9000000011924761,0.9599545725776613,4.004542742233876,3449.542742233878,0.0,0.01275400129690542,0.0,0.03826200389071626,-0.03826200389071626,0.03686570932179479,-0.0013962945689214717
278,12,17,1990-10-05 12:00:00+00:00,1990-10-05 17:30:00+05:30,38.4,83.36,22.1,32.88,0.18084341555604735,1.0,0.0,1.0,0.0,0.4417365755574425,0.8535014142675845,0.9599493218785723,4.005067812142768,3449.9844788094356,0.3774200078475069,0.0,3.019360062780055,0.0,3.019360062780055,0.6626048633361638,3.681964926116219
278,13,18,1990-10-05 13:00:00+00:00,1990-10-05 18:30:00+05:30,0.0,0.0,0.0,31.22,0.0,1.0,0.0,1.0,0.0,0.4820143263035732,0.8027630641045183,0.959943668401976,4.005633159802404,3450.4664931357393,0.5179856725742192,0.0,4.143885380593754,0.0,4.143885380593754,0.7230214894553598,4.866906870049114
278,14,19,1990-10-05 14:00:00+00:00,1990-10-05 19:30:00+05:30,0.0,0.0,0.0,29.34,0.0,1.0,0.0,1.0,0.0,0.4294723262731026,0.7575554507891238,0.95993854034538,4.00614596546201,3450.8959654620126,0.5705276725898711,0.0,4.564221380718969,0.0,4.564221380718969,0.6442084894096539,5.208429870128623
278,15,20,1990-10-05 15:00:00+00:00,1990-10-05 20:30:00+05:30,0.0,0.0,0.0,27.9,0.0,1.0,0.0,1.0,0.0,0.3922548039357999,0.7162654714061331,0.9599337844640072,4.006621553599279,3451.2882202659484,0.6077451949179948,0.0,4.861961559343959,0.0,4.861961559343959,0.5883822059036999,5.450343765247658
278,16,21,1990-10-05 16:00:00+00:00,1990-10-05 21:30:00+05:30,0.0,0.0,0.0,26.97,0.0,1.0,0.0,1.0,0.0,0.365395253466816,0.677802813127293,0.9599292971781392,4.0070702821860795,3451.6536155194153,0.6346047453838679,0.0,5.076837963070943,0.0,5.076837963070943,0.5480928802002241,5.6249308432711675
